Serial_number:   
2004212   
Project ID:   
L2004212   
Location:   
Lyell_Fk_abv_Twin_Br_Stilling_Tu
LEVEL   
UNIT: cm   
Offset: 0.000000 cm   
TEMPERATURE   
UNIT: °C   
Date,Time,ms,LEVEL (cm),TEMPERATURE 
8/3/2018,11:00:00 PM,0,805.78,13.152 
8/3/2018,11:30:00 PM,0,805.56,13.233 
8/4/2018,12:00:00 AM,0,805.33,13.286 
8/4/2018,12:30:00 AM,0,805.19,13.311 
8/4/2018,1:00:00 AM,0,805.08,13.305 
8/4/2018,1:30:00 AM,0,804.94,13.304 
8/4/2018,2:00:00 AM,0,804.79,13.28 
8/4/2018,2:30:00 AM,0,804.62,13.285 
8/4/2018,3:00:00 AM,0,804.5,13.277 
8/4/2018,3:30:00 AM,0,804.55,13.273 
8/4/2018,4:00:00 AM,0,804.29,13.268 
8/4/2018,4:30:00 AM,0,804.32,13.268 
8/4/2018,5:00:00 AM,0,804.3,13.254 
8/4/2018,5:30:00 AM,0,804.15,13.235 
8/4/2018,6:00:00 AM,0,803.98,13.218 
8/4/2018,6:30:00 AM,0,803.83,13.192 
8/4/2018,7:00:00 AM,0,803.58,13.165 
8/4/2018,7:30:00 AM,0,803.33,13.127 
8/4/2018,8:00:00 AM,0,803.01,13.045 
8/4/2018,8:30:00 AM,0,802.79,12.903 
8/4/2018,9:00:00 AM,0,802.63,12.728 
8/4/2018,9:30:00 AM,0,802.52,12.52 
8/4/2018,10:00:00 AM,0,802.47,12.321 
8/4/2018,10:30:00 AM,0,802.46,12.13 
8/4/2018,11:00:00 AM,0,802.41,11.925 
8/4/2018,11:30:00 AM,0,802.46,11.734 
8/4/2018,12:00:00 PM,0,802.39,11.569 
8/4/2018,12:30:00 PM,0,802.52,11.366 
8/4/2018,1:00:00 PM,0,802.55,11.151 
8/4/2018,1:30:00 PM,0,802.54,10.975 
8/4/2018,2:00:00 PM,0,802.62,10.808 
8/4/2018,2:30:00 PM,0,802.59,10.689 
8/4/2018,3:00:00 PM,0,802.51,10.592 
8/4/2018,3:30:00 PM,0,802.36,10.573 
8/4/2018,4:00:00 PM,0,802.36,10.602 
8/4/2018,4:30:00 PM,0,802.15,10.645 
8/4/2018,5:00:00 PM,0,801.99,10.711 
8/4/2018,5:30:00 PM,0,801.87,10.849 
8/4/2018,6:00:00 PM,0,801.78,11.018 
8/4/2018,6:30:00 PM,0,801.79,11.171 
8/4/2018,7:00:00 PM,0,801.62,11.321 
8/4/2018,7:30:00 PM,0,801.45,11.456 
8/4/2018,8:00:00 PM,0,801.38,11.591 
8/4/2018,8:30:00 PM,0,801.13,11.742 
8/4/2018,9:00:00 PM,0,801.12,11.913 
8/4/2018,9:30:00 PM,0,801.05,12.095 
8/4/2018,10:00:00 PM,0,800.95,12.269 
8/4/2018,10:30:00 PM,0,800.8,12.439 
8/4/2018,11:00:00 PM,0,800.56,12.626 
8/4/2018,11:30:00 PM,0,800.54,12.78 
8/5/2018,12:00:00 AM,0,800.22,12.873 
8/5/2018,12:30:00 AM,0,800.03,12.941 
8/5/2018,1:00:00 AM,0,799.81,12.998 
